time,StepCount,Activity Score (MET.s),AS,Sedentary Time (s),Upright Time (s),Stepping Time (s),Sedentary to Upright Movements,Upright to Sedentary Movements,Sum(abs(dChannel1)),Sum(abs(dChannel2)),Sum(abs(dChannel3)),
44583.67569,42,75.37714286,5.025142857,0,15,15,0,0,62631,30464,47909,
44583.66962,40,74.90357143,4.993571429,0,15,15,0,0,50809,25652,38883,
44583.69878,40,73.85428571,4.923619048,0,15,15,0,0,53665,29005,43852,
44583.68906,42,73.74285714,4.916190476,0,15,15,0,0,55690,27727,50319,
44583.69115,42,73.74285714,4.916190476,0,15,15,0,0,56107,30279,44360,
44583.66615,40,73.39,4.892666667,0,15,15,0,0,58327,28325,44479,
44583.67552,40,72.68,4.845333333,0,15,15,0,0,58578,24879,45183,
44583.67118,40,72.62857143,4.841904762,0,15,15,0,0,54059,26488,40974,
44583.67778,40,72.57142857,4.838095238,0,15,15,0,0,62939,31179,51032,
44583.67083,40,72.56666667,4.837777778,0,15,15,0,0,55980,24606,42110,
44583.6724,40,72.39642857,4.826428571,0,15,15,0,0,49229,25794,39467,
44583.68212,40,72.33142857,4.822095238,0,15,15,0,0,58374,28954,45973,
44587.66337,38,72.15584416,4.81038961,0,15,15,0,0,61046,29770,49557,
44583.66406,38,72.07142857,4.804761905,0,15,15,0,0,60168,31144,48476,
44583.67205,40,71.78666667,4.785777778,0,15,15,0,0,55875,25304,43491,
44583.68351,40,71.7,4.78,0,15,15,0,0,56038,29427,47886,
44583.66458,38,71.58181818,4.772121212,0,15,15,0,0,56929,23364,42607,
44583.67274,38,71.51428571,4.767619048,0,15,15,0,0,38970,27298,34133,
44583.69288,40,71.42142857,4.761428571,0,15,15,0,0,57701,28634,48906,
44583.67413,40,71.32857143,4.755238095,0,15,15,0,0,61560,27457,51262,
44583.70087,40,71.32857143,4.755238095,0,15,15,0,0,56517,28595,45457,
44583.68854,38,71.14285714,4.742857143,0,15,15,0,0,58694,30385,44752,
44583.68316,40,71.09642857,4.739761905,0,15,15,0,0,59900,28904,52825,
44583.66649,38,71.06857143,4.737904762,0,15,15,0,0,52831,26555,42373,
44583.67066,38,70.8952381,4.726349206,0,15,15,0,0,55822,23002,40740,
44583.67934,38,70.86428571,4.724285714,0,15,15,0,0,58788,31249,48656,
44583.66528,38,70.6025974,4.706839827,0,15,15,0,0,58312,24196,39344,
44583.68229,38,70.5012987,4.70008658,0,15,15,0,0,60779,28334,46590,
44583.66493,38,70.4,4.693333333,0,15,15,0,0,59437,29457,42497,
44583.67014,38,70.36363636,4.690909091,0,15,15,0,0,62745,27537,47499,
44583.67101,38,70.33809524,4.689206349,0,15,15,0,0,48341,27033,34585,
44583.66875,38,70.1974026,4.67982684,0,15,15,0,0,53659,28010,43314,
44583.66701,36,70.02857143,4.668571429,0,15,15,0,0,59952,25534,46900,
44587.64965,38,70.02857143,4.668571429,0,15,15,0,0,65428,44826,46148,
44583.69479,38,69.97142857,4.664761905,0,15,15,0,0,59237,30368,47336,
44583.67135,36,69.92727273,4.661818182,0,15,15,0,0,57173,24179,42236,
44583.67344,36,69.84285714,4.656190476,0,15,15,0,0,62674,27711,51775,
44587.66736,36,69.6,4.64,0,15,15,0,0,58702,32074,46045,
44583.68073,38,69.47142857,4.631428571,0,15,15,0,0,62655,28858,48341,
44587.66684,38,69.47142857,4.631428571,0,15,15,0,0,60565,30684,50172,
44583.6658,36,69.36590909,4.624393939,0,15,15,0,0,56409,27089,44495,
44583.68333,36,69.295,4.619666667,0,15,15,0,0,58953,30045,48461,
44583.68976,38,69.28571429,4.619047619,0,15,15,0,0,60212,34265,51205,
44583.69826,38,69.28571429,4.619047619,0,15,15,0,0,54317,35581,46230,
44587.65243,36,69.28571429,4.619047619,0,15,15,0,0,61973,35470,47670,
44583.68003,38,69.2,4.613333333,0,15,15,0,0,57077,25487,46451,
44583.6875,38,69.1,4.606666667,0,15,15,0,0,65217,32192,49758,
44587.67066,36,68.95555556,4.597037037,0,15,15,0,0,61989,30561,49591,
44583.68142,36,68.91428571,4.594285714,0,15,15,0,0,59709,28163,46418,
44583.6842,36,68.91428571,4.594285714,0,15,15,0,0,55378,28957,45845,
44583.68889,36,68.91428571,4.594285714,0,15,15,0,0,58433,29877,49176,
44583.68455,38,68.72857143,4.581904762,0,15,15,0,0,57170,31984,47129,
44583.67969,36,68.63571429,4.575714286,0,15,15,0,0,58041,27269,48407,
44583.68924,36,68.58,4.572,0,15,15,0,0,58944,31957,48895,
44583.69236,36,68.48714286,4.565809524,0,15,15,0,0,58527,29903,46622,
44583.66632,38,68.43142857,4.562095238,0,15,15,0,0,63909,26571,46004,
44583.69132,36,68.4,4.56,0,15,15,0,0,55675,31957,50379,
44583.70694,38,68.39090909,4.559393939,0,15,15,0,0,50324,29826,42418,
44583.68524,36,68.2,4.546666667,0,15,15,0,0,56402,27254,48899,
44583.69531,36,68.17142857,4.544761905,0,15,15,0,0,61966,31047,52857,
44583.6717,36,67.89285714,4.526190476,0,15,15,0,0,56783,29016,46256,
44583.66597,36,67.85909091,4.523939394,0,15,15,0,0,58825,27186,42855,
44583.68125,36,67.8,4.52,0,15,15,0,0,60862,28095,49650,
44583.68872,36,67.8,4.52,0,15,15,0,0,59292,29558,48920,
44587.65313,36,67.8,4.52,0,15,15,0,0,65327,36469,57075,
44587.65278,36,67.55714286,4.503809524,0,15,15,0,0,66101,30930,57425,
44583.67153,36,67.52987013,4.501991342,0,15,15,0,0,59625,27013,50788,
44583.67049,36,67.42857143,4.495238095,0,15,15,0,0,58857,27509,41895,
44583.67222,34,67.42857143,4.495238095,0,15,15,0,0,50449,24597,41608,
44583.67865,36,67.42857143,4.495238095,0,15,15,0,0,60255,28254,51583,
44587.65069,36,67.42857143,4.495238095,0,15,15,0,0,64793,34943,55358,
44587.65208,36,67.42857143,4.495238095,0,15,15,0,0,66281,44097,56102,
44587.66406,36,67.4,4.493333333,0,15,15,0,0,61483,29685,50917,
44587.66615,36,67.15714286,4.477142857,0,15,15,0,0,63669,29986,51592,
44583.6691,34,67.05714286,4.47047619,0,15,15,0,0,55337,25416,43291,
44583.69028,34,67.05714286,4.47047619,0,15,15,0,0,58551,31220,49505,
44587.66563,36,67.05714286,4.47047619,0,15,15,0,0,60365,32581,51187,
44583.66563,36,67.01071429,4.467380952,0,15,15,0,0,54950,27886,43213,
44583.67448,36,66.94285714,4.462857143,0,15,15,0,0,63284,28873,52817,
44583.6809,36,66.87142857,4.458095238,0,15,15,0,0,62793,29158,49570,
44583.68403,36,66.87142857,4.458095238,0,15,15,0,0,64352,30741,53351,
44587.65677,34,66.77857143,4.451904762,0,15,15,0,0,63673,30628,54320,
44587.6526,36,66.74285714,4.44952381,0,15,15,0,0,66709,37909,55848,
44583.70156,36,66.68571429,4.445714286,0,15,15,0,0,54691,30858,47845,
44587.65851,36,66.68571429,4.445714286,0,15,15,0,0,61004,29165,52374,
44583.68507,34,66.675,4.445,0,15,15,0,0,54330,28795,48392,
44587.65017,36,66.61142857,4.440761905,0,15,15,0,0,69205,38178,50970,
44583.70417,36,66.57142857,4.438095238,0,15,15,0,0,60046,33682,50028,
44583.70122,34,66.565,4.437666667,0,15,15,0,0,57544,29773,48276,
44587.67205,36,66.54642857,4.436428571,0,15,15,0,0,59000,31312,44074,
44583.66892,36,66.51688312,4.434458874,0,15,15,0,0,47165,24275,36487,
44583.66753,36,66.5,4.433333333,0,15,15,0,0,57651,30283,42567,
44583.69792,36,66.35142857,4.423428571,0,15,15,0,0,57591,29080,49647,
44583.67882,36,66.31428571,4.420952381,0,15,15,0,0,60527,28109,47867,
44587.66354,36,66.31428571,4.420952381,0,15,15,0,0,60931,30615,51781,
44583.67639,34,66.3,4.42,0,15,15,0,0,60087,28182,52352,
44587.65122,36,66.17142857,4.411428571,0,15,15,0,0,65932,35967,53427,
44583.67535,34,66.11428571,4.407619048,0,15,15,0,0,60579,29395,47838,
44583.6651,34,65.94285714,4.396190476,0,15,15,0,0,59821,24719,39952,
44583.66979,36,65.94285714,4.396190476,0,15,15,0,0,34325,19111,26060,
44583.67587,36,65.94285714,4.396190476,0,15,15,0,0,61322,27724,53145,
44583.68819,34,65.94285714,4.396190476,0,15,15,0,0,58313,29455,47851,
44583.69219,34,65.94285714,4.396190476,0,15,15,0,0,58822,30201,52179,
44583.69861,34,65.94285714,4.396190476,0,15,15,0,0,51106,28170,45522,
44587.65139,34,65.9,4.393333333,0,15,15,0,0,59582,31839,47482,
44583.6849,36,65.89642857,4.393095238,0,15,15,0,0,59407,29292,49205,
44583.68056,34,65.75714286,4.383809524,0,15,15,0,0,58411,26037,49149,
44583.68177,34,65.75714286,4.383809524,0,15,15,0,0,59443,28032,49468,
44583.69167,36,65.64571429,4.376380952,0,15,15,0,0,54142,33616,44986,
44583.67604,34,65.6,4.373333333,0,15,15,0,0,63305,30602,50128,
44583.68542,36,65.6,4.373333333,0,15,15,0,0,60081,26757,51112,
44583.68247,34,65.59393939,4.372929293,0,15,15,0,0,60268,27610,47831,
44583.6974,36,65.57142857,4.371428571,0,15,15,0,0,62964,36017,51979,
44583.70521,36,65.57142857,4.371428571,0,15,15,0,0,31926,22174,29631,
44587.65868,34,65.57142857,4.371428571,0,15,15,0,0,62601,32098,52224,
44587.6625,34,65.57142857,4.371428571,0,15,15,0,0,59290,29264,48735,
44583.6684,34,65.525,4.368333333,0,15,15,0,0,59910,25919,46656,
44583.66389,34,65.43214286,4.362142857,0,15,15,0,0,59583,34169,42815,
44583.67795,34,65.42857143,4.361904762,0,15,15,0,0,58844,30225,48519,
44583.68038,34,65.38571429,4.359047619,0,15,15,0,0,56362,25190,45007,
44583.6941,34,65.31428571,4.354285714,0,15,15,0,0,59412,29945,47814,
44583.66771,34,65.31142857,4.354095238,0,15,15,0,0,58616,27627,48902,
44587.66788,34,65.28571429,4.352380952,0,15,15,0,0,54902,35693,47199,
44583.66719,34,65.2,4.346666667,0,15,15,0,0,59629,30029,43401,
44583.66806,34,65.2,4.346666667,0,15,15,0,0,57337,29075,43947,
44583.68576,34,65.2,4.346666667,0,15,15,0,0,60649,28454,50749,
44587.65191,34,65.2,4.346666667,0,15,15,0,0,68634,39111,57022,
44587.65434,34,65.2,4.346666667,0,15,15,0,0,66661,31725,58694,
44587.64948,34,65.13809524,4.342539683,0,15,15,0,0,53879,31881,33807,
44587.65816,34,65.10714286,4.34047619,0,15,15,0,0,63009,33795,54763,
44583.66997,34,65.06493506,4.337662338,0,15,15,0,0,59463,29380,48665,
44587.66372,34,65.05714286,4.337142857,0,15,15,0,0,65735,31813,55230,
44583.67726,34,65.05142857,4.336761905,0,15,15,0,0,60712,28451,47756,
44587.66302,34,65.03116883,4.335411255,0,15,15,0,0,33523,17126,26193,
44583.70434,34,64.94285714,4.32952381,0,15,15,0,0,59195,34852,51901,
44583.67986,34,64.85,4.323333333,0,15,15,0,0,56769,27369,48226,
44583.69653,34,64.85,4.323333333,0,15,15,0,0,56124,32444,44972,
44583.70069,32,64.82857143,4.321904762,0,15,15,0,0,52877,34665,45399,
44583.70451,34,64.82857143,4.321904762,0,15,15,0,0,54957,30623,46428,
44587.65417,34,64.82857143,4.321904762,0,15,15,0,0,68062,36976,57770,
44587.67222,34,64.82857143,4.321904762,0,15,15,0,0,60784,35101,49956,
44583.68281,34,64.82,4.321333333,0,15,15,0,0,58586,28132,45554,
